ApplianceID, GeneralID, ApplianceName
-1,1,"Lights"
-1,2,"Fan"
-1,3,"Computer"
-1,4,"Washer"
-1,5,"DVD"
-1,6,"TV"
-1,7,"Trash Compactor"
-1,8,"Kitchen Tools"
-1,9,"Garage Door Opener"
-1,10,"Dryer"
-1,11,"Vacuum"
-1,12,"Straightening Iron"
-1,13,"Microwave"
-1,14,"Refrigerator"
-1,15,"Charger"
-1,16,"Printer"
-1,17,"Oven"
-1,18,"Stove"
-1,19,"Heater"
1,1,"Lights"
2,5,"DVD"
3,1,"Lights"
4,1,"Lights"
5,1,"Lights"
6,1,"Lights"
7,1,"Lights"
8,11,"Vacuum"
9,8,"Kitchen Tools"
10,1,"Lights"
11,4,"Washer"
12,2,"Fan"
13,1,"Lights"
14,1,"Lights"
15,1,"Lights"
16,10,"Dryer"
17,6,"TV"
18,1,"Lights"
19,3,"Computer"
20,9,"Garage Door Opener"
21,1,"Lights"
22,1,"Lights"
23,1,"Lights"
24,19,"Heater"
25,1,"Lights"
26,1,"Lights"
27,1,"Lights"
28,1,"Lights"
29,1,"Lights"
30,1,"Lights"
31,1,"Lights"
32,11,"Vacuum"
33,1,"Lights"
34,1,"Lights"
35,8,"Kitchen Tools"
36,7,"Trash Compactor"
37,1,"Lights"
38,4,"Washer"
39,1,"Lights"
40,1,"Lights"
41,1,"Lights"
42,1,"Lights"
43,8,"Kitchen Tools"
44,3,"Computer"
45,8,"Kitchen Tools"
46,1,"Lights"
47,4,"Washer"
48,10,"Dryer"
49,1,"Lights"
50,1,"Lights"
51,7,"Trash Compactor"
52,10,"Dryer"
53,1,"Lights"
54,1,"Lights"
55,1,"Lights"
56,15,"Charger"
57,1,"Lights"
58,1,"Lights"
59,2,"Fan"
60,1,"Lights"
61,1,"Lights"
62,1,"Lights"
63,13,"Microwave"
64,1,"Lights"
65,1,"Lights"
66,15,"Charger"
67,16,"Printer"
68,14,"Refrigerator"
69,1,"Lights"
70,12,"Straightening Iron"
71,6,"TV"
72,8,"Kitchen Tools"
73,8,"Kitchen Tools"
74,11,"Vacuum"
75,4,"Washer"
76,1,"Lights"
77,6,"TV"
78,1,"Lights"
79,1,"Lights"
80,5,"DVD"
81,6,"TV"
82,1,"Lights"
83,3,"Computer"
84,3,"Computer"
85,1,"Lights"
86,4,"Washer"
87,10,"Dryer"
88,1,"Lights"
89,1,"Lights"
90,9,"Garage Door Opener"
91,1,"Lights"
92,7,"Trash Compactor"
93,2,"Fan"
94,1,"Lights"
95,10,"Dryer"
96,1,"Lights"
97,1,"Lights"
98,6,"TV"
99,1,"Lights"
100,2,"Fan"
101,1,"Lights"
102,5,"DVD"
103,1,"Lights"
104,6,"TV"
105,1,"Lights"
106,13,"Microwave"
107,1,"Lights"
108,17,"Oven"
109,1,"Lights"
110,8,"Kitchen Tools"
111,1,"Lights"
112,4,"Washer"
113,3,"Computer"
114,3,"Computer"
115,1,"Lights"
116,1,"Lights"
117,15,"Charger"
118,8,"Kitchen Tools"
119,1,"Lights"
120,1,"Lights"
121,1,"Lights"
122,19,"Heater"
123,1,"Lights"
124,4,"Washer"
125,17,"Oven"
126,1,"Lights"
127,19,"Heater"
128,3,"Computer"
129,10,"Dryer"
130,1,"Lights"
131,8,"Kitchen Tools"
132,1,"Lights"
133,1,"Lights"
134,1,"Lights"
135,1,"Lights"
136,1,"Lights"
137,13,"Microwave"
138,8,"Kitchen Tools"
139,17,"Oven"
140,3,"Computer"
141,3,"Computer"
142,19,"Heater"
143,8,"Kitchen Tools"
144,18,"Stove"
145,17,"Oven"
146,2,"Fan"
147,1,"Lights"
148,11,"Vacuum"
